"id","date","description","amount","balance","messageDate","locationId","locationName","originalAmount","discountAmount"
"64b65e690419ab11006fb547","Jul 18th 2023, 03:12:09 PM","Monthly charge of (812) 732-0353 for July 2023",-1.035,"10.046474","-","i34q6HKMJF81B3OhJ5Qr","Heltonville Fitness Center",1.15,0.115
"64b65e6af4b0975cae348dd0","Jul 18th 2023, 03:12:09 PM","Monthly charge of (814) 787-0711 for July 2023",-1.035,"11.081474","-","l1sICVppRpS9m4qdLR2t","Freedom Hill Baptist",1.15,0.115
"64b65e4a7ac5ee77842e5fa0","Jul 18th 2023, 03:11:39 PM","SMS-MESSAGES-CARRIERFEES (1)",-0.009,"12.116474","-","i34q6HKMJF81B3OhJ5Qr","Heltonville Fitness Center",-0.009,0
"64b656c9fa77a8970ef98681","Jul 18th 2023, 02:39:40 PM","A2P-REGISTRATION-FEES (1)",-4.2,"12.125474","-","DJYFSoBF5wP7SUVUomKD","#4 Facebook Campaign",-4.2,0
"64b64f32691f1199cbaee64a","Jul 18th 2023, 02:07:16 PM","SMS-MESSAGES-CARRIERFEES (1)",-0.004,"16.325474","-","x7nLyDSHiewYRtwYlX0h","GM Baptist Outreach",-0.004,0
"64b64f29f4b09779fb33e015","Jul 18th 2023, 02:07:04 PM","Monthly charge of (912) 394-4489 for July 2023",-1.035,"16.329474","-","x7nLyDSHiewYRtwYlX0h","GM Baptist Outreach",1.15,0.115
"64b612cafa77a863f6f7ea51","Jul 18th 2023, 09:49:25 AM","SMS, ref: PW5nNZnobF3Izem2uHBH",-0.00711,"17.364474","Jul 18th 2023, 09:49:21 AM","O9f0bfIS8vUjYiw25c3y","Eternal Life Baptist Church",0.0079,0.00079
"64b612c80419ab84966ddeb2","Jul 18th 2023, 09:49:25 AM","SMS, ref: NNMpkjxUQpeOJopK0v3e",-0.01422,"17.371584","Jul 18th 2023, 09:49:20 AM","O9f0bfIS8vUjYiw25c3y","Eternal Life Baptist Church",0.0158,0.00158
"64b6124ef4b0971dba328dc7","Jul 18th 2023, 09:47:23 AM","SMS, ref: mjyZpzR4GZ6L14BJx8ac",-0.01422,"17.385804","Jul 18th 2023, 09:47:18 AM","O9f0bfIS8vUjYiw25c3y","Eternal Life Baptist Church",0.0158,0.00158
"64b610bc96fbb2044ea3f408","Jul 18th 2023, 09:40:39 AM","EMAIL Description, ref: KXnDfL8uT8lQTiyHFMD5",-0.000675,"17.400024","Jul 18th 2023, 09:40:34 AM","O9f0bfIS8vUjYiw25c3y","Eternal Life Baptist Church",-0.000675,0
"64b610bafa77a81b3af7e3ca","Jul 18th 2023, 09:40:39 AM","SMS, ref: G1ltRSnUZHjPR7F2XMpt",-0.00711,"17.400699","Jul 18th 2023, 09:40:34 AM","O9f0bfIS8vUjYiw25c3y","Eternal Life Baptist Church",0.0079,0.00079
"64b5ba97254809f351eba2ad","Jul 18th 2023, 03:33:05 AM","SMS, ref: UYprsoWZgtXAvbwsJdq0",-0.02133,"17.407809","Jul 18th 2023, 03:33:00 AM","i34q6HKMJF81B3OhJ5Qr","Heltonville Fitness Center",0.0237,0.00237
"64b5ba95893afad8c1353fed","Jul 18th 2023, 03:33:05 AM","EMAIL Description, ref: Pqq6dApdj2aHFRV4q1t7",-0.000675,"17.429139","Jul 18th 2023, 03:32:59 AM","i34q6HKMJF81B3OhJ5Qr","Heltonville Fitness Center",-0.000675,0
"64b5588d37c7261892c8de63","Jul 17th 2023, 08:34:50 PM","SMS, ref: yTLdY3lgmAe3NRDzqpL9",-0.01422,"17.429814","Jul 17th 2023, 08:34:45 PM","x7nLyDSHiewYRtwYlX0h","GM Baptist Outreach",0.0158,0.00158
"64b520e370621035c3251ba9","Jul 17th 2023, 04:37:22 PM","SMS-MESSAGES-CARRIERFEES (1)",-0.003,"17.444034","-","O9f0bfIS8vUjYiw25c3y","Eternal Life Baptist Church",-0.003,0
"64b520de71a903637260d35a","Jul 17th 2023, 04:37:16 PM","Monthly charge of (912) 715-8580 for July 2023",-1.035,"17.447034","-","O9f0bfIS8vUjYiw25c3y","Eternal Life Baptist Church",1.15,0.115
"64b51e708c6addc27de7279d","Jul 17th 2023, 04:26:56 PM","SMS-MESSAGES-CARRIERFEES (3)",-0.03,"18.482034","-","zGXo1HqbvDXwU3in2zpe","Vision Baptist Church",-0.03,0
"64b51ccb4f9aa4c0dc44c84b","Jul 17th 2023, 04:19:50 PM","EMAIL Description, ref: r65TWZJ4hXJ7dHra5bxN",-0.000675,"18.512034","Jul 17th 2023, 04:19:45 PM","O9f0bfIS8vUjYiw25c3y","Eternal Life Baptist Church",-0.000675,0
"64b51cc95730c11929396186","Jul 17th 2023, 04:19:50 PM","SMS, ref: AiDbAgs7L90lRaTJJ2Ra",-0.00711,"18.512709","Jul 17th 2023, 04:19:45 PM","O9f0bfIS8vUjYiw25c3y","Eternal Life Baptist Church",0.0079,0.00079
"64b50cbb5730c1428538e0e8","Jul 17th 2023, 03:11:24 PM","SMS-MESSAGES-CARRIERFEES (3)",-0.024,"18.519819","-","i34q6HKMJF81B3OhJ5Qr","Heltonville Fitness Center",-0.024,0
"64b4b8014f9aa4d65a3e2634","Jul 17th 2023, 09:09:50 AM","EMAIL Description, ref: CpLG23417Rtbi2SspwC1",-0.000675,"18.543819","Jul 17th 2023, 09:09:43 AM","i34q6HKMJF81B3OhJ5Qr","Heltonville Fitness Center",-0.000675,0
"64b4b8019840194559e67c5c","Jul 17th 2023, 09:09:50 AM","SMS, ref: jOT1EnFIJpD0CTQBB8Qh",-0.02133,"18.544494","Jul 17th 2023, 09:09:44 AM","i34q6HKMJF81B3OhJ5Qr","Heltonville Fitness Center",0.0237,0.00237
"64b4b7848bafd4ce975f004f","Jul 17th 2023, 09:07:45 AM","EMAIL Description, ref: X2J6d8Zr1fu2ODJGOcMj",-0.000675,"18.565824","Jul 17th 2023, 09:07:39 AM","i34q6HKMJF81B3OhJ5Qr","Heltonville Fitness Center",-0.000675,0
"64b4b7849840199234e67b39","Jul 17th 2023, 09:07:45 AM","SMS, ref: 7VplBvSi2kQy9wsbFrje",-0.02133,"18.566499","Jul 17th 2023, 09:07:40 AM","i34q6HKMJF81B3OhJ5Qr","Heltonville Fitness Center",0.0237,0.00237
"64b4b4c48aa1de440e97c694","Jul 17th 2023, 08:56:01 AM","EMAIL Description, ref: xAiJUjrKdfESq2VTUkxc",-0.000675,"18.587829","Jul 17th 2023, 08:55:55 AM","i34q6HKMJF81B3OhJ5Qr","Heltonville Fitness Center",-0.000675,0
"64b4b4c4471b67a8842f8ef8","Jul 17th 2023, 08:56:01 AM","SMS, ref: ehuvAyhCTgaIinPGmd3G",-0.02133,"18.588504","Jul 17th 2023, 08:55:56 AM","i34q6HKMJF81B3OhJ5Qr","Heltonville Fitness Center",0.0237,0.00237
"64b42c9902dec973f2f4681f","Jul 16th 2023, 11:15:02 PM","SMS, ref: hfQduLrJvhDLRfyTVIAl",-0.00711,"18.609834","Jul 16th 2023, 11:14:57 PM","zGXo1HqbvDXwU3in2zpe","Vision Baptist Church",0.0079,0.00079
"64b42a88bdac7213c4f70984","Jul 16th 2023, 11:06:13 PM","SMS, ref: 7c9poxctlh5DSc3GIVsY",-0.00711,"18.616944","Jul 16th 2023, 11:06:07 PM","zGXo1HqbvDXwU3in2zpe","Vision Baptist Church",0.0079,0.00079
"64b42a8059e0c9b3b03698d4","Jul 16th 2023, 11:06:05 PM","SMS, ref: ntOCgF6qkBhXxPsUpMMk",-0.00711,"18.624054","Jul 16th 2023, 11:06:00 PM","zGXo1HqbvDXwU3in2zpe","Vision Baptist Church",0.0079,0.00079
"64b42a33ed999a6b5da804f1","Jul 16th 2023, 11:04:48 PM","SMS, ref: Qfy99XX8HKH2oyoHOFz5",-0.00711,"18.631164","Jul 16th 2023, 11:04:42 PM","zGXo1HqbvDXwU3in2zpe","Vision Baptist Church",0.0079,0.00079
"64b3ccf8d18bd60fbcd21fff","Jul 16th 2023, 04:27:05 PM","SMS-MESSAGES-CARRIERFEES (1)",-0.005,"18.638274","-","zGXo1HqbvDXwU3in2zpe","Vision Baptist Church",-0.005,0
"64b3ac2fd18bd6accdd0c201","Jul 16th 2023, 02:07:10 PM","SMS-MESSAGES-CARRIERFEES (1)",-0.009,"18.643274","-","x7nLyDSHiewYRtwYlX0h","GM Baptist Outreach",-0.009,0
"64b2d9b42be1b41736238aec","Jul 15th 2023, 11:09:05 PM","SMS, ref: 9OYhtwYpWgtCyP0soALm",-0.00711,"18.652274","Jul 15th 2023, 11:08:59 PM","zGXo1HqbvDXwU3in2zpe","Vision Baptist Church",0.0079,0.00079
"64b2d960c3c59a3f2712735d","Jul 15th 2023, 11:07:41 PM","CALL, ref: KEMMkzjHhd5huikSt2Kh",-0.02025,"18.659384","Jul 15th 2023, 11:06:58 PM","zGXo1HqbvDXwU3in2zpe","Vision Baptist Church",0.0225,0.00225
"64b2ca732c215172b5060af2","Jul 15th 2023, 10:04:00 PM","SMS, ref: INj57iKyRFu0fAf4WHdB",-0.02133,"18.679634","Jul 15th 2023, 10:03:55 PM","x7nLyDSHiewYRtwYlX0h","GM Baptist Outreach",0.0237,0.00237
"64b26a1a30b147ebc98453c2","Jul 15th 2023, 03:12:50 PM","Auto recharge for wallet",10,"18.700964","-",,,10,0
"64b26a12f2924504aeb64703","Jul 15th 2023, 03:12:49 PM","A2P-REGISTRATION-FEES (1)",-4.2,"8.700964","-","3xMjF9yEAG7N1LA6ZMzk","#3 Facebook Campaign",-4.2,0
"64b25a9ed87b24ebe23cc482","Jul 15th 2023, 02:06:56 PM","SMS-MESSAGES-CARRIERFEES (5)",-0.021,"12.900964","-","x7nLyDSHiewYRtwYlX0h","GM Baptist Outreach",-0.021,0
